value,value_t8,value_t16
881,7048,14096
698,5584,11168
684,5472,10944
372,2976,5952
343,2744,5488
333,2664,5328
316,2528,5056
300,2400,4800
300,2400,4800
300,2400,4800
300,2400,4800
300,2400,4800
300,2400,4800
295,2360,4720
283,2264,4528
276,2208,4416
265,2120,4240
261,2088,4176
260,2080,4160
240,1920,3840
232,1856,3712
217,1736,3472
211,1688,3376
200,1600,3200
200,1600,3200
183,1464,2928
176,1408,2816
172,1376,2752
165,1320,2640
160,1280,2560
159,1272,2544
143,1144,2288
141,1128,2256
138,1104,2208
137,1096,2192
133,1064,2128
133,1064,2128
129,1032,2064
129,1032,2064
125,1000,2000
111,888,1776
109,872,1744
107,856,1712
107,856,1712
104,832,1664
103,824,1648
100,800,1600
100,800,1600
100,800,1600
100,800,1600
95,760,1520
95,760,1520
93,744,1488
91,728,1456
88,704,1408
83,664,1328
82,656,1312
79,632,1264
78,624,1248
76,608,1216
73,584,1168
72,576,1152
71,568,1136
70,560,1120
70,560,1120
70,560,1120
69,552,1104
68,544,1088
66,528,1056
65,520,1040
64,512,1024
62,496,992
61,488,976
60,480,960
59,472,944
59,472,944
58,464,928
57,456,912
56,448,896
56,448,896
55,440,880
54,432,864
54,432,864
54,432,864
53,424,848
52,416,832
52,416,832
51,408,816
51,408,816
51,408,816
51,408,816
50,400,800
50,400,800
50,400,800
50,400,800
50,400,800
49,392,784
49,392,784
49,392,784
47,376,752
46,368,736
46,368,736
45,360,720
44,352,704
42,336,672
42,336,672
42,336,672
41,328,656
41,328,656
40,320,640
40,320,640
40,320,640
40,320,640
40,320,640
39,312,624
38,304,608
38,304,608
37,296,592
37,296,592
37,296,592
37,296,592
37,296,592
37,296,592
36,288,576
36,288,576
36,288,576
35,280,560
35,280,560
35,280,560
34,272,544
34,272,544
33,264,528
33,264,528
32,256,512
32,256,512
32,256,512
32,256,512
32,256,512
32,256,512
32,256,512
32,256,512
31,248,496
31,248,496
31,248,496
31,248,496
31,248,496
30,240,480
30,240,480
30,240,480
30,240,480
30,240,480
30,240,480
30,240,480
29,232,464
29,232,464
29,232,464
29,232,464
28,224,448
28,224,448
28,224,448
27,216,432
27,216,432
27,216,432
27,216,432
27,216,432
27,216,432
27,216,432
27,216,432
27,216,432
26,208,416
25,200,400
25,200,400
25,200,400
25,200,400
25,200,400
25,200,400
25,200,400
25,200,400
25,200,400
25,200,400
25,200,400
24,192,384
24,192,384
24,192,384
24,192,384
24,192,384
24,192,384
24,192,384
24,192,384
23,184,368
23,184,368
23,184,368
23,184,368
23,184,368
23,184,368
23,184,368
23,184,368
22,176,352
22,176,352
22,176,352
22,176,352
22,176,352
22,176,352
22,176,352
22,176,352
22,176,352
21,168,336
21,168,336
21,168,336
21,168,336
21,168,336
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
20,160,320
19,152,304
19,152,304
19,152,304
19,152,304
19,152,304
19,152,304
19,152,304
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
18,144,288
17,136,272
17,136,272
17,136,272
17,136,272
17,136,272
17,136,272
16,128,256
16,128,256
16,128,256
16,128,256
16,128,256
16,128,256
16,128,256
16,128,256
16,128,256
16,128,256
16,128,256
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
15,120,240
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
14,112,224
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
13,104,208
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
12,96,192
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
11,88,176
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
10,80,160
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
9,72,144
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
8,64,128
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
7,56,112
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
6,48,96
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
5,40,80
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
4,32,64
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
3,24,48
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
2,16,32
